row_id,input_name,normalized_name,country_or_territory,location_type,coordinates,main_island,main_island_coordinates,notes,source_url
21,Alo,Alo,Wallis and Futuna,district/chiefdom,"-14.310000, -178.070000",Wallis (Uvea),"-13.300000, -176.200000",Representative point in the Alo district on Futuna.,https://www.assembleeterritoriale.wf/territorial-assembly-wallis-and-futuna
22,Niuas,Niuas,Tonga,island division,"-15.956180, -173.773340",Tongatapu,"-21.133333, -175.200000",Representative point on Niuatoputapu.,https://reliefweb.int/map/tonga/kingdom-tonga-population-tongatapu-eua-haapai-vavau-niuas-17-january-2022
23,Tongatapu,Tongatapu,Tonga,island division,"-21.133333, -175.200000",Tongatapu,"-21.133333, -175.200000",,https://reliefweb.int/map/tonga/kingdom-tonga-population-tongatapu-eua-haapai-vavau-niuas-17-january-2022
24,Sigave,Sigave,Wallis and Futuna,district/chiefdom,"-14.270000, -178.170000",Wallis (Uvea),"-13.300000, -176.200000",Representative point in western Futuna.,https://www.assembleeterritoriale.wf/territorial-assembly-wallis-and-futuna
25,Wallis and Futuna,Wallis and Futuna,Wallis and Futuna,territory,"-13.300000, -176.200000",Wallis (Uvea),"-13.300000, -176.200000","Territory-level point placed on Wallis (Uvea), where Mata-Utu is located.",https://www.assembleeterritoriale.wf/territorial-assembly-wallis-and-futuna
26,New Caledonia,New Caledonia,New Caledonia,territory,"-21.300000, 165.500000",Grande Terre,"-21.300000, 165.500000",Territory-level point placed on Grande Terre.,https://gouv.nc/gouvernement-et-institutions-les-autres-institutions/les-provinces
27,French Polynesia,French Polynesia,French Polynesia,territory,"-17.650000, -149.450000",Tahiti,"-17.650000, -149.450000",Territory-level point placed on Tahiti.,https://www.polynesie-francaise.gouv.fr/Services-de-l-Etat/Le-Haut-Commissariat/Les-subdivisions
28,ÃŽles Marquises,Îles Marquises,French Polynesia,administrative subdivision,"-8.880000, -140.100000",Tahiti,"-17.650000, -149.450000",Representative point on Nuku Hiva.,https://www.polynesie-francaise.gouv.fr/Services-de-l-Etat/Le-Haut-Commissariat/Les-subdivisions
29,Shefa,Shefa,Vanuatu,province,"-17.680000, 168.370000",Efate,"-17.680000, 168.370000",Representative point on Efate.,https://www.vanuatu.travel/en/about-vanuatu/provinces
30,Vanuatu,Vanuatu,Vanuatu,country,"-17.680000, 168.370000",Efate,"-17.680000, 168.370000","Country-level point placed on Efate, where Port Vila is located.",https://www.vanuatu.travel/en/about-vanuatu/provinces
31,'Eua,'Eua,Tonga,island division,"-21.363196, -174.929720",Tongatapu,"-21.133333, -175.200000",,https://reliefweb.int/map/tonga/kingdom-tonga-population-tongatapu-eua-haapai-vavau-niuas-17-january-2022
32,Torba,Torba,Vanuatu,province,"-13.800000, 167.470000",Efate,"-17.680000, 168.370000",Representative point on Vanua Lava.,https://www.vanuatu.travel/en/about-vanuatu/provinces
33,Alo,Alo,Wallis and Futuna,district/chiefdom,"-14.310000, -178.070000",Wallis (Uvea),"-13.300000, -176.200000",Representative point in the Alo district on Futuna.,https://www.assembleeterritoriale.wf/territorial-assembly-wallis-and-futuna
34,Vanuatu,Vanuatu,Vanuatu,country,"-17.680000, 168.370000",Efate,"-17.680000, 168.370000","Country-level point placed on Efate, where Port Vila is located.",https://www.vanuatu.travel/en/about-vanuatu/provinces
35,Fiji,Fiji,Fiji,country,"-17.800000, 178.000000",Viti Levu,"-17.800000, 178.000000",Country-level point placed on Viti Levu.,https://en.wikipedia.org/wiki/Divisions_of_Fiji
36,ÃŽles Sous-le-Vent,Îles Sous-le-Vent,French Polynesia,administrative subdivision,"-16.830000, -151.450000",Tahiti,"-17.650000, -149.450000",Representative point on Raiatea.,https://www.polynesie-francaise.gouv.fr/Services-de-l-Etat/Le-Haut-Commissariat/Les-subdivisions
37,Nanumanga,Nanumanga,Tuvalu,island,"-6.286389, 176.315278",Funafuti,"-8.524444, 179.194444",,https://whc.unesco.org/en/tentativelists/6707/
38,Samoa,Samoa,Samoa,country,"-13.916667, -171.750000",Upolu,"-13.916667, -171.750000","Country-level point placed on Upolu, the capital and principal population island.",https://www.sbs.gov.ws/images/sbs-documents/Population_and_Demography/SOCIO_ECONOMIC_Atlas2016.pdf
39,North West Upolu,North West Upolu,Samoa,statistical region,"-13.820000, -171.930000",Upolu,"-13.916667, -171.750000",Representative point in north-western Upolu.,https://www.sbs.gov.ws/images/sbs-documents/Population_and_Demography/SOCIO_ECONOMIC_Atlas2016.pdf
40,Savaii,Savai'i,Samoa,island/statistical region,"-13.633000, -172.433000",Upolu,"-13.916667, -171.750000",,https://www.sbs.gov.ws/images/sbs-documents/Population_and_Demography/SOCIO_ECONOMIC_Atlas2016.pdf
41,Vaitupu,Vaitupu,Tuvalu,atoll,"-7.489167, 178.679722",Funafuti,"-8.524444, 179.194444",,https://whc.unesco.org/en/tentativelists/6707/
42,Funafuti,Funafuti,Tuvalu,atoll,"-8.524444, 179.194444",Funafuti,"-8.524444, 179.194444",,https://whc.unesco.org/en/tentativelists/6707/
43,Niulakita,Niulakita,Tuvalu,island,"-10.790000, 179.471111",Funafuti,"-8.524444, 179.194444",,https://whc.unesco.org/en/tentativelists/6707/
44,Apia Urban Area,Apia Urban Area,Samoa,statistical region,"-13.833330, -171.762220",Upolu,"-13.916667, -171.750000",Point placed at Apia.,https://www.sbs.gov.ws/images/sbs-documents/Population_and_Demography/SOCIO_ECONOMIC_Atlas2016.pdf
45,Apia Urban Area,Apia Urban Area,Samoa,statistical region,"-13.833330, -171.762220",Upolu,"-13.916667, -171.750000",Point placed at Apia.,https://www.sbs.gov.ws/images/sbs-documents/Population_and_Demography/SOCIO_ECONOMIC_Atlas2016.pdf
46,Sanma,Sanma,Vanuatu,province,"-15.380000, 166.850000",Efate,"-17.680000, 168.370000",Representative point on Espiritu Santo.,https://www.vanuatu.travel/en/about-vanuatu/provinces
47,Loyalty Islands,Loyalty Islands Province,New Caledonia,province,"-21.067000, 167.350000",Grande Terre,"-21.300000, 165.500000",Province-level representative point.,https://gouv.nc/gouvernement-et-institutions-les-autres-institutions/les-provinces
48,Fakaofo,Fakaofo,Tokelau,atoll,"-9.365278, -171.215000",Nukunonu,"-9.168330, -171.809720",,https://www.tokelau.org.nz/About%2BUs/Geography.html
49,'Eua,'Eua,Tonga,island division,"-21.363196, -174.929720",Tongatapu,"-21.133333, -175.200000",,https://reliefweb.int/map/tonga/kingdom-tonga-population-tongatapu-eua-haapai-vavau-niuas-17-january-2022
50,Hahake,Hahake,Wallis and Futuna,district,"-13.280000, -176.170000",Wallis (Uvea),"-13.300000, -176.200000",Representative point in central/eastern Wallis.,https://www.assembleeterritoriale.wf/territorial-assembly-wallis-and-futuna
51,Niuas,Niuas,Tonga,island division,"-15.956180, -173.773340",Tongatapu,"-21.133333, -175.200000",Representative point on Niuatoputapu.,https://reliefweb.int/map/tonga/kingdom-tonga-population-tongatapu-eua-haapai-vavau-niuas-17-january-2022
52,Nanumea,Nanumea,Tuvalu,atoll,"-5.675000, 176.115556",Funafuti,"-8.524444, 179.194444",,https://whc.unesco.org/en/tentativelists/6707/
53,Torba,Torba,Vanuatu,province,"-13.800000, 167.470000",Efate,"-17.680000, 168.370000",Representative point on Vanua Lava.,https://www.vanuatu.travel/en/about-vanuatu/provinces
54,ÃŽles du Vent,Îles du Vent,French Polynesia,administrative subdivision,"-17.650000, -149.450000",Tahiti,"-17.650000, -149.450000",Representative point on Tahiti.,https://www.polynesie-francaise.gouv.fr/Services-de-l-Etat/Le-Haut-Commissariat/Les-subdivisions
55,Vava'u,Vava'u,Tonga,island division,"-18.666667, -174.000000",Tongatapu,"-21.133333, -175.200000",,https://reliefweb.int/map/tonga/kingdom-tonga-population-tongatapu-eua-haapai-vavau-niuas-17-january-2022
56,Nanumea,Nanumea,Tuvalu,atoll,"-5.675000, 176.115556",Funafuti,"-8.524444, 179.194444",,https://whc.unesco.org/en/tentativelists/6707/
57,Northern Province,Northern Province,New Caledonia,province,"-20.950000, 165.000000",Grande Terre,"-21.300000, 165.500000",Representative point on northern Grande Terre.,https://gouv.nc/gouvernement-et-institutions-les-autres-institutions/les-provinces
58,Southern Province,Southern Province,New Caledonia,province,"-22.100000, 166.250000",Grande Terre,"-21.300000, 165.500000",Representative point on southern Grande Terre.,https://gouv.nc/gouvernement-et-institutions-les-autres-institutions/les-provinces
59,Ha'apai,Ha'apai,Tonga,island division,"-19.800000, -174.350000",Tongatapu,"-21.133333, -175.200000","Representative point near Lifuka, the principal administrative island.",https://reliefweb.int/map/tonga/kingdom-tonga-population-tongatapu-eua-haapai-vavau-niuas-17-january-2022
60,Tuvalu,Tuvalu,Tuvalu,country,"-8.524444, 179.194444",Funafuti,"-8.524444, 179.194444","Country-level point placed on Funafuti, the capital atoll.",https://whc.unesco.org/en/tentativelists/6707/
61,ÃŽles Australes,Îles Australes,French Polynesia,administrative subdivision,"-23.380000, -149.450000",Tahiti,"-17.650000, -149.450000",Representative point on Tubuai.,https://www.polynesie-francaise.gouv.fr/Services-de-l-Etat/Le-Haut-Commissariat/Les-subdivisions
62,Tongatapu,Tongatapu,Tonga,island division,"-21.133333, -175.200000",Tongatapu,"-21.133333, -175.200000",,https://reliefweb.int/map/tonga/kingdom-tonga-population-tongatapu-eua-haapai-vavau-niuas-17-january-2022
63,Sanma,Sanma,Vanuatu,province,"-15.380000, 166.850000",Efate,"-17.680000, 168.370000",Representative point on Espiritu Santo.,https://www.vanuatu.travel/en/about-vanuatu/provinces
64,Penama,Penama,Vanuatu,province,"-15.400000, 167.830000",Efate,"-17.680000, 168.370000",Representative point on Ambae.,https://www.vanuatu.travel/en/about-vanuatu/provinces
65,Malampa,Malampa,Vanuatu,province,"-16.300000, 167.500000",Efate,"-17.680000, 168.370000",Representative point on Malakula.,https://www.vanuatu.travel/en/about-vanuatu/provinces
66,French Polynesia,French Polynesia,French Polynesia,territory,"-17.650000, -149.450000",Tahiti,"-17.650000, -149.450000",Territory-level point placed on Tahiti.,https://www.polynesie-francaise.gouv.fr/Services-de-l-Etat/Le-Haut-Commissariat/Les-subdivisions
67,ÃŽles Australes,Îles Australes,French Polynesia,administrative subdivision,"-23.380000, -149.450000",Tahiti,"-17.650000, -149.450000",Representative point on Tubuai.,https://www.polynesie-francaise.gouv.fr/Services-de-l-Etat/Le-Haut-Commissariat/Les-subdivisions
68,Penama,Penama,Vanuatu,province,"-15.400000, 167.830000",Efate,"-17.680000, 168.370000",Representative point on Ambae.,https://www.vanuatu.travel/en/about-vanuatu/provinces
69,Malampa,Malampa,Vanuatu,province,"-16.300000, 167.500000",Efate,"-17.680000, 168.370000",Representative point on Malakula.,https://www.vanuatu.travel/en/about-vanuatu/provinces
70,Northern,Northern Division,Fiji,division,"-16.600000, 179.100000",Viti Levu,"-17.800000, 178.000000",Representative point on Vanua Levu.,https://en.wikipedia.org/wiki/Divisions_of_Fiji
71,Western,Western Division,Fiji,division,"-17.650000, 177.550000",Viti Levu,"-17.800000, 178.000000",Representative point in western Viti Levu.,https://en.wikipedia.org/wiki/Divisions_of_Fiji
72,Hihifo,Hihifo,Wallis and Futuna,district,"-13.220000, -176.200000",Wallis (Uvea),"-13.300000, -176.200000",Representative point in northern Wallis.,https://www.assembleeterritoriale.wf/territorial-assembly-wallis-and-futuna
73,Mua,Mu'a,Wallis and Futuna,district,"-13.350000, -176.180000",Wallis (Uvea),"-13.300000, -176.200000",Representative point in southern Wallis.,https://www.assembleeterritoriale.wf/territorial-assembly-wallis-and-futuna
74,Tonga,Tonga,Tonga,country,"-21.133333, -175.200000",Tongatapu,"-21.133333, -175.200000",Country-level point placed on Tongatapu.,https://reliefweb.int/map/tonga/kingdom-tonga-population-tongatapu-eua-haapai-vavau-niuas-17-january-2022
75,Vava'u,Vava'u,Tonga,island division,"-18.666667, -174.000000",Tongatapu,"-21.133333, -175.200000",,https://reliefweb.int/map/tonga/kingdom-tonga-population-tongatapu-eua-haapai-vavau-niuas-17-january-2022
76,Rest of Upolu,Rest of Upolu,Samoa,statistical region,"-13.960000, -171.600000",Upolu,"-13.916667, -171.750000",Representative point in eastern/southern Upolu.,https://www.sbs.gov.ws/images/sbs-documents/Population_and_Demography/SOCIO_ECONOMIC_Atlas2016.pdf
77,Savaii,Savai'i,Samoa,island/statistical region,"-13.633000, -172.433000",Upolu,"-13.916667, -171.750000",,https://www.sbs.gov.ws/images/sbs-documents/Population_and_Demography/SOCIO_ECONOMIC_Atlas2016.pdf
78,Funafuti,Funafuti,Tuvalu,atoll,"-8.524444, 179.194444",Funafuti,"-8.524444, 179.194444",,https://whc.unesco.org/en/tentativelists/6707/
79,Torba,Torba,Vanuatu,province,"-13.800000, 167.470000",Efate,"-17.680000, 168.370000",Representative point on Vanua Lava.,https://www.vanuatu.travel/en/about-vanuatu/provinces
80,Anafu,Anafu (Atafu),Tokelau,atoll,"-8.551670, -172.500830",Nukunonu,"-9.168330, -171.809720",The supplied label 'Anafu' is used in some Pacific datasets; the official atoll name is Atafu.,https://www.tokelau.org.nz/About%2BUs/Geography.html
81,Nukulaelae,Nukulaelae,Tuvalu,atoll,"-9.370000, 179.808611",Funafuti,"-8.524444, 179.194444",,https://whc.unesco.org/en/tentativelists/6707/
82,North West Upolu,North West Upolu,Samoa,statistical region,"-13.820000, -171.930000",Upolu,"-13.916667, -171.750000",Representative point in north-western Upolu.,https://www.sbs.gov.ws/images/sbs-documents/Population_and_Demography/SOCIO_ECONOMIC_Atlas2016.pdf
83,Tokelau,Tokelau,Tokelau,country/territory,"-9.168330, -171.809720",Nukunonu,"-9.168330, -171.809720","Country-level point placed on Nukunonu, the central atoll.",https://www.tokelau.org.nz/About%2BUs/Geography.html
84,Eastern,Eastern Division,Fiji,division,"-17.683000, 178.833000",Viti Levu,"-17.800000, 178.000000","Representative point on Ovalau, near Levuka.",https://en.wikipedia.org/wiki/Divisions_of_Fiji
85,Anafu,Anafu (Atafu),Tokelau,atoll,"-8.551670, -172.500830",Nukunonu,"-9.168330, -171.809720",The supplied label 'Anafu' is used in some Pacific datasets; the official atoll name is Atafu.,https://www.tokelau.org.nz/About%2BUs/Geography.html
86,Nukulaelae,Nukulaelae,Tuvalu,atoll,"-9.370000, 179.808611",Funafuti,"-8.524444, 179.194444",,https://whc.unesco.org/en/tentativelists/6707/
87,Tongatapu,Tongatapu,Tonga,island division,"-21.133333, -175.200000",Tongatapu,"-21.133333, -175.200000",,https://reliefweb.int/map/tonga/kingdom-tonga-population-tongatapu-eua-haapai-vavau-niuas-17-january-2022
88,Shefa,Shefa,Vanuatu,province,"-17.680000, 168.370000",Efate,"-17.680000, 168.370000",Representative point on Efate.,https://www.vanuatu.travel/en/about-vanuatu/provinces
89,Eastern,Eastern Division,Fiji,division,"-17.683000, 178.833000",Viti Levu,"-17.800000, 178.000000","Representative point on Ovalau, near Levuka.",https://en.wikipedia.org/wiki/Divisions_of_Fiji
90,French Polynesia,French Polynesia,French Polynesia,territory,"-17.650000, -149.450000",Tahiti,"-17.650000, -149.450000",Territory-level point placed on Tahiti.,https://www.polynesie-francaise.gouv.fr/Services-de-l-Etat/Le-Haut-Commissariat/Les-subdivisions
91,Tonga,Tonga,Tonga,country,"-21.133333, -175.200000",Tongatapu,"-21.133333, -175.200000",Country-level point placed on Tongatapu.,https://reliefweb.int/map/tonga/kingdom-tonga-population-tongatapu-eua-haapai-vavau-niuas-17-january-2022
92,ÃŽles du Vent,Îles du Vent,French Polynesia,administrative subdivision,"-17.650000, -149.450000",Tahiti,"-17.650000, -149.450000",Representative point on Tahiti.,https://www.polynesie-francaise.gouv.fr/Services-de-l-Etat/Le-Haut-Commissariat/Les-subdivisions
93,Nui,Nui,Tuvalu,atoll,"-7.245556, 177.145833",Funafuti,"-8.524444, 179.194444",,https://whc.unesco.org/en/tentativelists/6707/
94,Hihifo,Hihifo,Wallis and Futuna,district,"-13.220000, -176.200000",Wallis (Uvea),"-13.300000, -176.200000",Representative point in northern Wallis.,https://www.assembleeterritoriale.wf/territorial-assembly-wallis-and-futuna
95,North West Upolu,North West Upolu,Samoa,statistical region,"-13.820000, -171.930000",Upolu,"-13.916667, -171.750000",Representative point in north-western Upolu.,https://www.sbs.gov.ws/images/sbs-documents/Population_and_Demography/SOCIO_ECONOMIC_Atlas2016.pdf
96,Tuvalu,Tuvalu,Tuvalu,country,"-8.524444, 179.194444",Funafuti,"-8.524444, 179.194444","Country-level point placed on Funafuti, the capital atoll.",https://whc.unesco.org/en/tentativelists/6707/
97,ÃŽles Sous-le-Vent,Îles Sous-le-Vent,French Polynesia,administrative subdivision,"-16.830000, -151.450000",Tahiti,"-17.650000, -149.450000",Representative point on Raiatea.,https://www.polynesie-francaise.gouv.fr/Services-de-l-Etat/Le-Haut-Commissariat/Les-subdivisions
98,ÃŽles Tuamotu-Gambier,Îles Tuamotu-Gambier,French Polynesia,administrative subdivision,"-18.100000, -140.950000",Tahiti,"-17.650000, -149.450000",Representative point on Hao in the central Tuamotu archipelago.,https://www.polynesie-francaise.gouv.fr/Services-de-l-Etat/Le-Haut-Commissariat/Les-subdivisions
99,Tafea,Tafea,Vanuatu,province,"-19.500000, 169.350000",Efate,"-17.680000, 168.370000",Representative point on Tanna.,https://www.vanuatu.travel/en/about-vanuatu/provinces
100,Central,Central Division,Fiji,division,"-17.945300, 178.246100",Viti Levu,"-17.800000, 178.000000",Representative geographic centre of the division.,https://en.wikipedia.org/wiki/Divisions_of_Fiji
101,Nanumanga,Nanumanga,Tuvalu,island,"-6.286389, 176.315278",Funafuti,"-8.524444, 179.194444",,https://whc.unesco.org/en/tentativelists/6707/
102,ÃŽles Tuamotu-Gambier,Îles Tuamotu-Gambier,French Polynesia,administrative subdivision,"-18.100000, -140.950000",Tahiti,"-17.650000, -149.450000",Representative point on Hao in the central Tuamotu archipelago.,https://www.polynesie-francaise.gouv.fr/Services-de-l-Etat/Le-Haut-Commissariat/Les-subdivisions
103,Fiji,Fiji,Fiji,country,"-17.800000, 178.000000",Viti Levu,"-17.800000, 178.000000",Country-level point placed on Viti Levu.,https://en.wikipedia.org/wiki/Divisions_of_Fiji
104,Wallis and Futuna,Wallis and Futuna,Wallis and Futuna,territory,"-13.300000, -176.200000",Wallis (Uvea),"-13.300000, -176.200000","Territory-level point placed on Wallis (Uvea), where Mata-Utu is located.",https://www.assembleeterritoriale.wf/territorial-assembly-wallis-and-futuna
105,Southern Province,Southern Province,New Caledonia,province,"-22.100000, 166.250000",Grande Terre,"-21.300000, 165.500000",Representative point on southern Grande Terre.,https://gouv.nc/gouvernement-et-institutions-les-autres-institutions/les-provinces
106,Ha'apai,Ha'apai,Tonga,island division,"-19.800000, -174.350000",Tongatapu,"-21.133333, -175.200000","Representative point near Lifuka, the principal administrative island.",https://reliefweb.int/map/tonga/kingdom-tonga-population-tongatapu-eua-haapai-vavau-niuas-17-january-2022
107,'Eua,'Eua,Tonga,island division,"-21.363196, -174.929720",Tongatapu,"-21.133333, -175.200000",,https://reliefweb.int/map/tonga/kingdom-tonga-population-tongatapu-eua-haapai-vavau-niuas-17-january-2022
108,Wallis and Futuna,Wallis and Futuna,Wallis and Futuna,territory,"-13.300000, -176.200000",Wallis (Uvea),"-13.300000, -176.200000","Territory-level point placed on Wallis (Uvea), where Mata-Utu is located.",https://www.assembleeterritoriale.wf/territorial-assembly-wallis-and-futuna
109,Niutao,Niutao,Tuvalu,island,"-6.109444, 177.334167",Funafuti,"-8.524444, 179.194444",,https://whc.unesco.org/en/tentativelists/6707/
110,Apia Urban Area,Apia Urban Area,Samoa,statistical region,"-13.833330, -171.762220",Upolu,"-13.916667, -171.750000",Point placed at Apia.,https://www.sbs.gov.ws/images/sbs-documents/Population_and_Demography/SOCIO_ECONOMIC_Atlas2016.pdf
111,Nui,Nui,Tuvalu,atoll,"-7.245556, 177.145833",Funafuti,"-8.524444, 179.194444",,https://whc.unesco.org/en/tentativelists/6707/
112,Sanma,Sanma,Vanuatu,province,"-15.380000, 166.850000",Efate,"-17.680000, 168.370000",Representative point on Espiritu Santo.,https://www.vanuatu.travel/en/about-vanuatu/provinces
113,Niulakita,Niulakita,Tuvalu,island,"-10.790000, 179.471111",Funafuti,"-8.524444, 179.194444",,https://whc.unesco.org/en/tentativelists/6707/
114,Tafea,Tafea,Vanuatu,province,"-19.500000, 169.350000",Efate,"-17.680000, 168.370000",Representative point on Tanna.,https://www.vanuatu.travel/en/about-vanuatu/provinces
115,Anafu,Anafu (Atafu),Tokelau,atoll,"-8.551670, -172.500830",Nukunonu,"-9.168330, -171.809720",The supplied label 'Anafu' is used in some Pacific datasets; the official atoll name is Atafu.,https://www.tokelau.org.nz/About%2BUs/Geography.html
116,Nukunonu,Nukunonu,Tokelau,atoll,"-9.168330, -171.809720",Nukunonu,"-9.168330, -171.809720",,https://www.tokelau.org.nz/About%2BUs/Geography.html
117,Rest of Upolu,Rest of Upolu,Samoa,statistical region,"-13.960000, -171.600000",Upolu,"-13.916667, -171.750000",Representative point in eastern/southern Upolu.,https://www.sbs.gov.ws/images/sbs-documents/Population_and_Demography/SOCIO_ECONOMIC_Atlas2016.pdf
118,Samoa,Samoa,Samoa,country,"-13.916667, -171.750000",Upolu,"-13.916667, -171.750000","Country-level point placed on Upolu, the capital and principal population island.",https://www.sbs.gov.ws/images/sbs-documents/Population_and_Demography/SOCIO_ECONOMIC_Atlas2016.pdf
119,Tokelau,Tokelau,Tokelau,country/territory,"-9.168330, -171.809720",Nukunonu,"-9.168330, -171.809720","Country-level point placed on Nukunonu, the central atoll.",https://www.tokelau.org.nz/About%2BUs/Geography.html
120,Niutao,Niutao,Tuvalu,island,"-6.109444, 177.334167",Funafuti,"-8.524444, 179.194444",,https://whc.unesco.org/en/tentativelists/6707/
121,Vaitupu,Vaitupu,Tuvalu,atoll,"-7.489167, 178.679722",Funafuti,"-8.524444, 179.194444",,https://whc.unesco.org/en/tentativelists/6707/
122,Funafuti,Funafuti,Tuvalu,atoll,"-8.524444, 179.194444",Funafuti,"-8.524444, 179.194444",,https://whc.unesco.org/en/tentativelists/6707/
123,Mua,Mu'a,Wallis and Futuna,district,"-13.350000, -176.180000",Wallis (Uvea),"-13.300000, -176.200000",Representative point in southern Wallis.,https://www.assembleeterritoriale.wf/territorial-assembly-wallis-and-futuna
124,Ha'apai,Ha'apai,Tonga,island division,"-19.800000, -174.350000",Tongatapu,"-21.133333, -175.200000","Representative point near Lifuka, the principal administrative island.",https://reliefweb.int/map/tonga/kingdom-tonga-population-tongatapu-eua-haapai-vavau-niuas-17-january-2022
125,Nui,Nui,Tuvalu,atoll,"-7.245556, 177.145833",Funafuti,"-8.524444, 179.194444",,https://whc.unesco.org/en/tentativelists/6707/
126,Nukulaelae,Nukulaelae,Tuvalu,atoll,"-9.370000, 179.808611",Funafuti,"-8.524444, 179.194444",,https://whc.unesco.org/en/tentativelists/6707/
127,Vava'u,Vava'u,Tonga,island division,"-18.666667, -174.000000",Tongatapu,"-21.133333, -175.200000",,https://reliefweb.int/map/tonga/kingdom-tonga-population-tongatapu-eua-haapai-vavau-niuas-17-january-2022
128,Niutao,Niutao,Tuvalu,island,"-6.109444, 177.334167",Funafuti,"-8.524444, 179.194444",,https://whc.unesco.org/en/tentativelists/6707/
129,Penama,Penama,Vanuatu,province,"-15.400000, 167.830000",Efate,"-17.680000, 168.370000",Representative point on Ambae.,https://www.vanuatu.travel/en/about-vanuatu/provinces
130,New Caledonia,New Caledonia,New Caledonia,territory,"-21.300000, 165.500000",Grande Terre,"-21.300000, 165.500000",Territory-level point placed on Grande Terre.,https://gouv.nc/gouvernement-et-institutions-les-autres-institutions/les-provinces
